Symbol;Name;Meaning;Translation;Tags;Url
=;Equals; equal to;is equal to;Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Equals_sign
≡;Identically Equals; identically equal to;is identically equal to;Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Identity_(mathematics)
≠;Not Equals; not equal to;is not equal to;Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Equals_sign
≈;Approximately Equals; approximately equal to;is approximately equal to;Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Equals_sign#Approximately_equal
∼;Tilde; of same order as (used in comparisons of infinitesimals or infinites) < less than... 'a less than b' is written as a < b (or, equivalently, b > a) ≤ less than or equal to...a less than or equal to b is written as a≤b;is of the same order as;Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Tilde
≪;Much Less Than; much less than... a much less than b is written as a ≪ b;is much less than;Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Inequality_(mathematics)
>;Greater Than; greater than... a greater than b is written as a > b (or, equivalently, b < a) ≥ greater than or equal to... a greater than or equal to b is written as a ≥ b;is greater than;Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Greater-than_sign
≫;Much Greater Than; much greater than... a much greater than b is written as a ≫ b;is much greater than;Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Inequality_(mathematics)
+;Plus; plus sign... the sum of numbers a and b is denoted by a + b and has the property a+b=b+a;plus;Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Addition
–;Minus; minus sign... the difference of numbers a and b is denoted by a – b;minus;Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Subtraction
⋅;Product; multiplication sign... the product of numbers a and b is denoted by either ab or a ⋅ b (sometimes a × b) and has the property ab = ba... the inner product of vectors a and b is denoted by a ⋅ b;multiplied by (or if vectors, the inner product of);Universal Symbols & Arithmetic,Linear Algebra;https://en.wikipedia.org/wiki/Dot_product
×;Product; multiplication sign... the product of numbers a and b is sometimes denoted by a × b... the cross-product of vectors a and b is denoted by a × b;multipled by;Universal Symbols & Arithmetic,Linear Algebra;https://en.wikipedia.org/wiki/Multiplication
:;Ratio; division sign... the ratio of numbers a and b is denoted by a : b or a/b;ratio between (literally, ‘divided by’);Universal Symbols & Arithmetic;https://www.mathsisfun.com/numbers/ratio.html
!;Factorial;factorial sign: 0!=1!=1, n!=1⋅2⋅3...(n–1)n, n=2, 3, 4, ...;factorial (the product of this number and all integers below it);Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Factorial
!!;Double Factorial;double factorial sign: 0!! = 1!! = 1, (2n)!! = 2 ⋅ 4 ⋅ 6...(2n), (2n + 1)!! = 1⋅3⋅5…(2n+1),where n=1, 2, 3, …;double factorial (product of this number and all even numbers below it);Universal Symbols & Arithmetic;https://en.wikipedia.org/wiki/Double_factorial
